"filename", "language", "HTML", "Dart", "JSON", "C++", "Markdown", "YAML", "Swift", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"d:\tot\projects\POS_app\lib\data\customers\responses\add_new_customer\tot_add_new_customer_model.g.dart", "Dart", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 278
"d:\tot\projects\POS_app\lib\data\customers\responses\customers_response\tot_customers.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 171
"d:\tot\projects\POS_app\lib\data\customers\responses\customers_response\tot_customers.freezed.dart", "Dart", 0, 2778, 0, 0, 0, 0, 0, 0, 0, 0, 81, 182, 3041
"d:\tot\projects\POS_app\lib\data\customers\responses\customers_response\tot_customers.g.dart", "Dart", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 293
"d:\tot\projects\POS_app\lib\data\fulfillment_center\data_source\local_data_source.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\tot\projects\POS_app\lib\data\fulfillment_center\data_source\remote_data_source.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\tot\projects\POS_app\lib\data\fulfillment_center\model\graph_fulfillment_center_model.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"d:\tot\projects\POS_app\lib\data\fulfillment_center\model\graph_fulfillment_center_model.freezed.dart", "Dart", 0, 725, 0, 0, 0, 0, 0, 0, 0, 0, 40, 95, 860
"d:\tot\projects\POS_app\lib\data\fulfillment_center\model\graph_fulfillment_center_model.g.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 82
"d:\tot\projects\POS_app\lib\data\fulfillment_center\repo\fulfillment_center_repo_impl.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 59
"d:\tot\projects\POS_app\lib\data\inventory\data_source\remote_data_source.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\tot\projects\POS_app\lib\data\inventory\repo\inventory_repo_impl.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\tot\projects\POS_app\lib\data\menu\data_sources\menu_data_source.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\tot\projects\POS_app\lib\data\menu\mappers\category_mapping.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\tot\projects\POS_app\lib\data\menu\model\category_model.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 50
"d:\tot\projects\POS_app\lib\data\menu\model\category_model.freezed.dart", "Dart", 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 25, 48, 413
"d:\tot\projects\POS_app\lib\data\menu\model\category_model.g.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 42
"d:\tot\projects\POS_app\lib\data\menu\repo\repo_impl.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\tot\projects\POS_app\lib\data\orders\data_source\local_data_source.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\tot\projects\POS_app\lib\data\orders\data_source\remote_data_source.dart", "Dart", 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 367
"d:\tot\projects\POS_app\lib\data\orders\model\graph_create_order_model.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"d:\tot\projects\POS_app\lib\data\orders\model\graph_create_order_model.freezed.dart", "Dart", 0, 834, 0, 0, 0, 0, 0, 0, 0, 0, 32, 93, 959
"d:\tot\projects\POS_app\lib\data\orders\model\graph_create_order_model.g.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 99
"d:\tot\projects\POS_app\lib\data\orders\repo\orders_repo_impl.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 124
"d:\tot\projects\POS_app\lib\data\products\data_sources\remote_data_source.dart", "Dart", 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 405
"d:\tot\projects\POS_app\lib\data\products\mapper\products_mapping.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 73
"d:\tot\projects\POS_app\lib\data\products\mapper\products_pos_mapping.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\tot\projects\POS_app\lib\data\products\model\qraph_product_model.dart", "Dart", 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 395
"d:\tot\projects\POS_app\lib\data\products\model\qraph_product_model.freezed.dart", "Dart", 0, 6326, 0, 0, 0, 0, 0, 0, 0, 0, 234, 622, 7182
"d:\tot\projects\POS_app\lib\data\products\model\qraph_product_model.g.dart", "Dart", 0, 592, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53, 649
"d:\tot\projects\POS_app\lib\data\products\repo\products_repo_impl.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 50
"d:\tot\projects\POS_app\lib\data\report\data_source\local_data_source.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"d:\tot\projects\POS_app\lib\data\report\data_source\remote_data_source.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\tot\projects\POS_app\lib\data\report\model\avg_order_value_model.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\tot\projects\POS_app\lib\data\report\model\avg_order_value_model.freezed.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 183
"d:\tot\projects\POS_app\lib\data\report\model\avg_order_value_model.g.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\tot\projects\POS_app\lib\data\report\model\cost_model.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\tot\projects\POS_app\lib\data\report\model\cost_model.freezed.dart", "Dart", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 352
"d:\tot\projects\POS_app\lib\data\report\model\cost_model.g.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 34
"d:\tot\projects\POS_app\lib\data\report\model\order_statistics_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\tot\projects\POS_app\lib\data\report\model\order_statistics_model.freezed.dart", "Dart", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 360
"d:\tot\projects\POS_app\lib\data\report\model\order_statistics_model.g.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"d:\tot\projects\POS_app\lib\data\report\model\revenue_model.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\tot\projects\POS_app\lib\data\report\model\revenue_model.freezed.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 179
"d:\tot\projects\POS_app\lib\data\report\model\revenue_model.g.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\tot\projects\POS_app\lib\data\report\model\statistic_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\tot\projects\POS_app\lib\data\report\model\statistic_model.freezed.dart", "Dart", 0, 614, 0, 0, 0, 0, 0, 0, 0, 0, 31, 82, 727
"d:\tot\projects\POS_app\lib\data\report\model\statistic_model.g.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 61
"d:\tot\projects\POS_app\lib\data\report\repo\report_repo_impl.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\tot\projects\POS_app\lib\data\sales\data_source\sales_data_source.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\tot\projects\POS_app\lib\data\sales\model\sales_model.dart", "Dart", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 220
"d:\tot\projects\POS_app\lib\data\sales\model\sales_model.freezed.dart", "Dart", 0, 3548, 0, 0, 0, 0, 0, 0, 0, 0, 112, 311, 3971
"d:\tot\projects\POS_app\lib\data\sales\model\sales_model.g.dart", "Dart", 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 335
"d:\tot\projects\POS_app\lib\data\sales\repo\sales_repo.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\tot\projects\POS_app\lib\depency_injection.dart", "Dart", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 25, 18, 313
"d:\tot\projects\POS_app\lib\domain\auth\repo\auth_repo_base.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\tot\projects\POS_app\lib\domain\auth\usecases\get_user_usecase.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\tot\projects\POS_app\lib\domain\auth\usecases\login_usecase.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\tot\projects\POS_app\lib\domain\bag\entities\bag.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 119
"d:\tot\projects\POS_app\lib\domain\bag\entities\bag_item.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 106
"d:\tot\projects\POS_app\lib\domain\bag\repo\bag_order_repo.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\tot\projects\POS_app\lib\domain\bag\usecases\add_bag_item_usecase.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\tot\projects\POS_app\lib\domain\bag\usecases\create_bag_usecase.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\tot\projects\POS_app\lib\domain\cart\repo\cart_repo.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\tot\projects\POS_app\lib\domain\cart\usecases\add_copoun_usecase.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\tot\projects\POS_app\lib\domain\cart\usecases\add_item_usecase.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\tot\projects\POS_app\lib\domain\cart\usecases\change_item_quantity_usecase.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
